Country;Amount spent;Impressions;CPC
US;$63 060,8;2852361;$0,3
GB;$50 269,9;3415812;$0,3
CA;$31 997,5;2027730;$0,3
AU;$30 479,3;1587093;$0,4
IT;$8 993,3;1342814;$0,2
DE;$6 748,1;372149;$0,4
FR;$5 797,9;537491;$0,3
NZ;$5 360,1;377544;$0,2
ZA;$5 341,9;1424761;$0,1
NO;$3 474,4;209116;$0,3
RO;$3 302,5;636398;$0,2
IE;$3 099,1;302394;$0,2
BE;$3 096,3;312879;$0,3
SE;$3 049,5;186160;$0,3
PL;$3 049,1;559229;$0,1
ES;$2 732,5;320026;$0,3
CH;$2 649,2;140257;$0,5
FI;$2 361,5;188417;$0,3
DK;$2 211,7;142386;$0,2
AT;$2 206,0;158098;$0,4
PT;$2 054,7;379323;$0,2
CZ;$1 844,6;239375;$0,2
HU;$1 744,2;402275;$0,1
IS;$1 714,0;198297;$0,4
IL;$1 554,2;105237;$0,3
GR;$1 362,9;249308;$0,1
ID;$1 286,6;801282;$0,1
HR;$891,5;199344;$0,2
SI;$887,0;127974;$0,2
CL;$881,8;221002;$0,1
BG;$817,0;163535;$0,2
AE;$786,1;79409;$0,2
SK;$696,8;115987;$0,2
MT;$620,8;122846;$0,2
LU;$525,4;82179;$0,3
NL;$489,3;36050;$0,2
BS;$466,1;169303;$0,1
DO;$408,6;170805;$0,2
GE;$382,8;202174;$0,1
VN;$382,7;299129;$0,1
TW;$348,1;42354;$0,2
JP;$335,6;43010;$0,3
HK;$309,0;28587;$0,2
GH;$304,1;134634;$0,1
EC;$273,9;126531;$0,1
SA;$269,1;46631;$0,1
ZW;$251,5;188314;$0,1
ZM;$242,8;190466;$0,0
PA;$222,3;51088;$0,2
BB;$214,3;80878;$0,1
QA;$210,7;36387;$0,1
TZ;$210,7;115874;$0,1
KR;$208,9;21136;$0,3
GU;$200,5;58700;$0,1
BM;$188,8;39145;$0,2
MV;$180,6;120643;$0,1
KY;$174,8;34786;$0,2
CY;$172,0;38303;$0,2
BW;$171,7;168595;$0,0
UY;$171,7;49346;$0,2
CW;$155,9;52657;$0,1
BA;$147,3;86899;$0,1
JO;$144,7;49659;$0,1
MK;$143,6;78880;$0,1
BH;$133,4;26649;$0,1
JE;$129,5;30236;$0,2
FJ;$125,7;114011;$0,0
BN;$123,0;50952;$0,1
AL;$120,0;48091;$0,1
OM;$118,7;32401;$0,2
GY;$113,4;99041;$0,1
PG;$103,8;108100;$0,1
AM;$102,4;55075;$0,1
PF;$99,2;45805;$0,1
IM;$96,3;29318;$0,1
PY;$93,1;41032;$0,1
CN;$92,3;50639;$0,1
LC;$87,5;52056;$0,1
MW;$83,7;77966;$0,1
CI;$81,8;42555;$0,1
GG;$81,6;24987;$0,2
BZ;$76,3;71552;$0,1
AO;$75,5;33099;$0,1
BO;$74,9;43269;$0,1
TN;$74,8;87210;$0,0
AG;$74,1;44754;$0,1
RE;$70,3;30448;$0,1
MM;$70,0;128424;$0,0
FO;$68,5;16943;$0,1
GD;$68,1;50747;$0,1
KN;$65,0;33458;$0,1
SC;$63,3;47333;$0,1
AZ;$63,1;29896;$0,1
AS;$62,5;42532;$0,1
CM;$61,9;47476;$0,1
VI;$61,6;17519;$0,1
SN;$60,7;42289;$0,1
VG;$58,4;26593;$0,1
TC;$52,4;23044;$0,2
GP;$51,9;12464;$0,2
ET;$51,2;57476;$0,0
GL;$51,0;35748;$0,1
SX;$48,7;20309;$0,1
DM;$48,6;33361;$0,1
GI;$47,0;16542;$0,1
GF;$44,3;14955;$0,2
MP;$44,0;23696;$0,1
HT;$43,8;35646;$0,1
CD;$43,0;28384;$0,1
SZ;$42,2;43708;$0,0
MQ;$41,3;8517;$0,2
BQ;$41,3;22225;$0,1
NC;$40,1;13578;$0,1
VC;$36,4;31378;$0,1
LS;$34,8;39091;$0,0
XK;$27,7;15362;$0,1
CK;$27,2;19905;$0,1
PW;$25,6;21220;$0,1
KG;$24,9;19130;$0,1
MF;$24,0;8519;$0,2
SO;$23,6;29375;$0,1
MO;$23,1;6203;$0,1
TO;$21,9;35738;$0,1
WS;$21,8;24947;$0,1
LA;$21,4;20559;$0,0
GA;$21,3;19292;$0,1
AI;$20,1;11576;$0,1
LR;$19,7;19119;$0,0
SL;$19,3;21108;$0,0
FM;$17,9;16954;$0,1
NR;$17,5;16838;$0,1
CV;$16,8;18794;$0,1
TG;$15,5;12270;$0,1
VU;$14,6;15174;$0,1
ME;$14,3;5758;$0,1
MH;$13,9;14158;$0,1
BF;$13,0;11016;$0,1
BT;$13,0;29678;$0,0
CG;$12,4;10887;$0,1
SB;$11,8;15385;$0,1
BJ;$11,8;9878;$0,1
FK;$11,7;12358;$0,1
ML;$11,1;9479;$0,1
AD;$10,9;4402;$0,2
SS;$10,0;10217;$0,1
LI;$9,8;1638;$0,3
GM;$7,8;8785;$0,1
GN;$7,6;8257;$0,1
DJ;$7,2;8558;$0,1
BI;$7,0;8227;$0,1
SM;$6,2;1987;$0,2
BL;$5,7;3099;$0,2
MC;$5,4;938;$0,2
MS;$5,3;4924;$0,1
NU;$4,9;4183;$0,1
YT;$4,9;3704;$0,2
AF;$4,7;7304;$0,1
TL;$4,3;5638;$0,1
GQ;$3,3;2201;$0,1
KI;$3,1;5665;$0,1
NF;$2,9;1466;$0,2
TD;$2,9;3129;$0,1
SH;$2,8;4169;$0,1
GW;$2,7;3680;$0,1
PM;$2,5;2125;$0,1
KM;$2,3;3217;$0,1
ST;$2,2;2601;$0,2
TV;$2,0;2840;$0,0
CF;$1,7;2306;$0,1
SJ;$1,4;491;$0,2
TM;$1,2;973;$0,2
WF;$0,8;977;$0,1
ER;$0,8;370;$0,2
TK;$0,4;796;$0,0
AQ;$0,2;82;$0,2
TR;$0,1;28;$0,1
RS;$0,1;7;$0,1
PN;$0,1;47;$0,1
MD;$0,0;7;$0,0
CX;$0,0;32;$0,0
IN;$0,0;13;$0,0
EE;$0,0;1;$0,0
EH;$0,0;24;$0,0
UZ;$0,0;4;$0,0
AN;$0,0;4;$0,0
BR;$0,0;4;$0,0
BY;$0,0;1;$0,0
CO;$0,0;1;$0,0
EG;$0,0;3;$0,0
IQ;$0,0;2;$0,0
KZ;$0,0;7;$0,0
LB;$0,0;1;$0,0
MA;$0,0;4;$0,0
MN;$0,0;1;$0,0
MR;$0,0;1;$0,0
MX;$0,0;1;$0,0
MY;$0,0;5;$0,0
MZ;$0,0;1;$0,0
NP;$0,0;1;$0,0
TF;$0,0;1;$0,0
TH;$0,0;18;$0,0
UA;$0,0;2;$0,0
UG;$0,0;3;$0,0
VA;$0,0;3;$0,0
