Country,Amount spent,Impressions,Visits,Emails,Paywalls,CPM,CTR,CPC,CR into email enter,CR into paywall view,CR into purchase,CPA,LTV,ROMI
Angola,75.5,33099,332,79,40,2.281035680836279,0.010030514517054896,0.1,0.23795180722891565,0.12048192771084337,0.045180722891566265,15.1,35.90455555555555,3.0377483443708604
Albania,120.0,48091,1039,285,161,2.4952693851240357,0.02160487409286561,0.1,0.2743022136669875,0.15495668912415783,0.026948989412897015,10.0,14.991666666666665,3.0976666666666666
Andorra,10.9,4402,48,11,5,2.4761472058155385,0.010904134484325307,0.2,0.22916666666666666,0.10416666666666667,0.0625,10.9,22.355666666666668,4.593577981651376
United Arab Emirates,786.1,79409,2526,813,423,9.899381682177083,0.03180999634802101,0.2,0.32185273159144895,0.167458432304038,0.03127474267616785,24.565625,17.708626016260162,0.8333672560742907
Armenia,102.4,55075,692,136,87,1.859282796187018,0.01256468452110758,0.1,0.19653179190751446,0.12572254335260116,0.02167630057803468,11.377777777777778,1.1618333333333333,1.4301757812499998
Antigua and Barbuda,74.1,44754,534,131,71,1.6557179246547793,0.01193189435581177,0.1,0.24531835205992508,0.13295880149812733,0.016853932584269662,37.05,71.42151851851851,1.8597840755735495
Australia,30479.3,1587093,65970,15469,7919,19.204482661066493,0.04156656226194684,0.4,0.23448537213885098,0.12003941185387297,0.044762770956495376,27.533242999096657,68.55978404558404,0.8496970074772057
Austria,2206.0,158098,4856,883,446,13.953370694126427,0.03071512606105074,0.4,0.18183690280065898,0.09184514003294893,0.03377265238879736,35.58064516129032,21.89647727272727,0.3736899365367179
Azerbaijan,63.1,29896,387,80,50,2.110650254214611,0.012944875568637946,0.1,0.20671834625322996,0.12919896640826872,0.046511627906976744,12.620000000000001,52.9149298245614,5.257052297939778
Belgium,3096.3,312879,9111,2127,1159,9.896157939650791,0.029119883405405923,0.3,0.23345406651300626,0.12720886840083415,0.031061354406761058,31.920618556701033,82.91221359223299,0.8325646739657009
